name,radeg,dedeg,cz,czhel,loscmvgdist,nuvmag,e_nuvmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,2jmag,e_2jmag,2hmag,e_2hmag,2kmag,e_2kmag,uymag,e_uymag,uhmag,e_uhmag,ukmag,e_ukmag,extnuv,extu,extg,extr,exti,extz,exty,extj,exth,extk,logmstar,absrmag,modelabsrmag,modelnuvr,modelur,modelui,modeluj,modeluk,modelgr,modelgi,modelgj,modelgk,modelurcorr,r50,r90,axialratio,mudelta,mhidet,e_mhidet,mhilim,logmgas,logmgastype,g3grp,g3grpradeg,g3grpdedeg,g3grpcz,g3grpngi,g3grpndw,g3grpabsrmag,g3logmhvir,g3logmh200,g3grpmhi,g3fc,g3skycutoffflag,involg3,fofgrp,fofgrpradeg,fofgrpdedeg,fofgrpcz,fofgrpn,fofgrpabsrmag,foflogmhvir,foflogmh200,fofgrpmhi,foffc,fofskycutoffflag,involfof,f_a,f_b,fl_insample,mhi_corr,hitelescope,confused,emhi_corr_sys,emhi_corr_rand
rf0001,0.0135,-1.113,6683.8,6540.0,94.9,19.327,0.062,18.638,0.041,17.69,0.028,17.32,0.042,17.152,0.023,17.054,0.116,15.842,0.24,0.0,0.0,0.0,0.0,16.477,0.188,15.47,0.266,15.377,0.372,0.332,0.186,0.137,0.099,0.075,0.054,0.043,0.033,0.021,0.013,8.52,-17.714,-17.679,1.717,1.165,1.325,2.449,3.248,0.263,0.423,1.547,2.346,0.911,3.32,6.89,0.81,8.03,465000000.0,38900000.0,0.0,8.81,0.0,27960.0,0.0135,-1.113,6683.8,0.0,1.0,-17.71,11.17,10.97,8.67,1.0,0.0,1,45820.0,0.0135,-1.113,6683.8,1.0,-17.71,11.15,10.95,8.67,1.0,0.0,1,0,1,1,0.0,GBT,0,0.0,0.0
rf0002,1.1467,0.8486,6583.8,6435.0,93.5,20.986,0.178,18.62,0.032,17.084,0.021,16.33,0.021,15.942,0.021,15.666,0.023,14.526,0.086,14.27,0.294,12.718,0.438,14.918,0.173,0.0,0.0,13.461,0.348,0.282,0.158,0.117,0.085,0.064,0.046,0.037,0.028,0.018,0.011,9.58,-18.656,-18.692,4.563,2.169,2.503,3.818,4.736,0.694,1.028,2.343,3.261,1.943,3.11,9.78,0.6,9.53,0.0,0.0,133500000.0,8.27,0.0,27961.0,1.1467,0.8486,6583.8,0.0,1.0,-18.66,11.38,11.19,8.13,1.0,0.0,1,45821.0,1.1467,0.8486,6583.8,1.0,-18.66,11.32,11.13,8.13,1.0,0.0,1,0,1,1,0.0,AO,0,0.0,0.0
rf0003,2.3154,0.8126,5962.9,5817.0,84.7,20.143,0.046,18.888,0.031,17.721,0.021,17.073,0.023,16.776,0.021,16.513,0.03,15.332,0.111,14.718,0.109,14.353,0.09,15.795,0.153,14.69,0.074,14.495,0.104,0.234,0.132,0.097,0.07,0.053,0.038,0.031,0.023,0.015,0.009,9.0,-17.681,-17.68,2.878,1.731,2.029,3.352,4.266,0.564,0.862,2.185,3.1,1.145,1.73,4.04,0.94,9.29,637800000.0,49500000.0,0.0,8.95,0.0,27962.0,2.3154,0.8126,5962.9,0.0,1.0,-17.68,11.16,10.96,8.8,1.0,0.0,1,45822.0,2.3154,0.8126,5962.9,1.0,-17.68,11.15,10.95,8.8,1.0,0.0,1,0,1,1,0.0,AO,0,0.0,0.0
rf0004,2.956,-1.087,6365.9,6229.0,90.4,17.36,0.02,16.198,0.027,15.204,0.022,14.612,0.027,13.802,0.028,14.267,0.093,13.242,0.511,13.093,0.145,14.113,0.98,14.54,0.379,13.42,0.26,13.273,0.868,0.348,0.196,0.144,0.104,0.079,0.056,0.046,0.034,0.022,0.014,9.68,-20.319,-20.315,2.448,1.53,1.729,2.82,3.531,0.441,0.64,1.731,2.442,1.492,15.28,33.3,0.95,7.96,4536600000.0,579100000.0,0.0,9.8,0.0,27340.0,2.956,-1.087,6365.9,1.0,0.0,-20.32,11.82,11.65,9.66,1.0,0.0,1,45823.0,2.956,-1.087,6365.9,1.0,-20.32,11.75,11.57,9.66,1.0,0.0,1,0,1,1,0.0,S05-AO,0,0.0,0.0
rf0005,3.0254,-0.4152,5565.4,5426.0,79.1,18.961,0.085,15.902,0.05,14.208,0.02,13.404,0.02,12.998,0.023,12.726,0.022,11.477,0.05,10.749,0.131,10.544,0.058,11.987,0.073,0.0,0.0,0.0,0.0,0.285,0.16,0.118,0.086,0.065,0.046,0.037,0.028,0.018,0.011,10.64,-21.212,-21.243,5.357,2.342,2.694,4.094,5.03,0.752,1.104,2.504,3.44,2.184,8.21,29.02,0.66,9.98,0.0,0.0,948900000.0,9.12,0.0,27341.0,3.0254,-0.4152,5565.4,1.0,0.0,-21.21,12.14,11.98,8.98,1.0,0.0,1,45824.0,3.0254,-0.4152,5565.4,1.0,-21.21,12.12,11.96,8.98,1.0,0.0,1,0,1,1,0.0,GBT,0,0.0,0.0
rf0006,4.1918,-1.1083,5543.7,5410.0,78.8,20.258,0.035,18.527,0.087,17.267,0.022,16.647,0.023,16.302,0.03,16.089,0.036,15.384,0.262,14.593,0.104,14.095,0.237,15.501,0.421,14.947,0.183,14.61,0.646,0.445,0.25,0.184,0.133,0.101,0.072,0.058,0.044,0.028,0.018,9.14,-18.009,-18.023,3.331,1.774,2.032,3.202,3.97,0.53,0.788,1.958,2.727,1.648,4.68,13.39,0.94,8.81,0.0,0.0,47000000.0,7.82,0.0,27963.0,4.1918,-1.1083,5543.7,0.0,1.0,-18.01,11.23,11.04,7.67,1.0,0.0,1,45825.0,4.1918,-1.1083,5543.7,1.0,-18.01,11.21,11.01,7.67,1.0,0.0,1,0,1,1,0.0,AO,0,0.0,0.0
rf0007,4.2865,-0.958,5811.1,5677.0,82.6,18.001,0.016,16.811,0.027,15.542,0.02,14.947,0.02,14.634,0.029,14.423,0.038,13.202,0.16,12.686,0.167,12.228,0.262,13.598,0.057,12.72,0.232,0.0,0.0,0.345,0.194,0.143,0.104,0.078,0.056,0.045,0.034,0.022,0.014,9.8,-19.783,-19.786,2.831,1.706,1.982,3.278,4.168,0.518,0.795,2.09,2.981,1.263,10.3,19.42,0.61,8.34,1766600000.0,80000000.0,0.0,9.39,0.0,27342.0,4.32123,-0.96801,5680.4,2.0,0.0,-21.05,12.07,11.91,9.36,0.0,0.0,1,46321.0,4.2865,-0.958,5811.1,1.0,-19.78,11.58,11.4,9.25,1.0,0.0,1,0,1,1,0.0,GBT,0,0.0,0.0
rf0008,4.3576,-0.9785,5549.8,5416.0,78.9,17.21,0.023,15.857,0.095,14.642,0.028,13.992,0.026,13.65,0.022,13.377,0.021,12.167,0.061,11.504,0.022,11.137,0.138,12.648,0.026,11.588,0.05,0.0,0.0,0.349,0.196,0.144,0.105,0.079,0.056,0.046,0.034,0.022,0.014,10.22,-20.638,-20.65,2.994,1.804,2.112,3.482,4.424,0.569,0.876,2.246,3.189,1.219,11.75,23.02,0.54,8.73,0.0,0.0,513500000.0,8.86,0.0,27342.0,4.32123,-0.96801,5680.4,2.0,0.0,-21.05,12.07,11.91,9.36,1.0,0.0,1,46322.0,4.3576,-0.9785,5549.8,1.0,-20.64,11.86,11.69,8.71,1.0,0.0,1,0,1,1,0.0,GBT,0,0.0,0.0
rf0009,4.4165,0.5062,5330.5,5191.0,75.8,18.949,0.052,18.157,0.029,17.104,0.022,16.697,0.027,16.518,0.022,16.382,0.036,15.378,0.133,14.623,0.117,13.874,0.919,15.946,0.199,15.404,0.321,0.0,0.0,0.231,0.13,0.096,0.069,0.052,0.037,0.03,0.023,0.014,0.009,8.66,-17.809,-17.778,2.077,1.322,1.495,2.598,3.368,0.312,0.484,1.588,2.358,1.154,5.63,15.33,0.3,8.16,70400000.0,10100000.0,0.0,7.99,0.0,27964.0,4.4165,0.5062,5330.5,0.0,1.0,-17.81,11.19,10.99,7.85,1.0,0.0,1,45827.0,4.4165,0.5062,5330.5,1.0,-17.81,11.17,10.97,7.85,1.0,0.0,1,0,1,1,0.0,AO,0,0.0,0.0
rf0010,4.4759,0.3293,5446.7,5308.0,77.4,18.165,0.038,17.773,0.028,16.939,0.021,16.642,0.046,16.481,0.065,16.389,0.054,15.604,0.134,0.0,0.0,14.243,0.246,15.809,0.165,15.087,0.21,0.0,0.0,0.254,0.143,0.105,0.076,0.058,0.041,0.033,0.025,0.016,0.01,8.5,-17.918,-17.872,1.29,0.97,1.101,2.18,2.954,0.207,0.339,1.417,2.192,0.698,3.99,8.03,0.9,7.99,2915300000.0,127400000.0,0.0,9.15,1.0,27343.0,4.47837,0.33228,5498.7,1.0,1.0,-20.12,11.77,11.59,9.54,0.0,0.0,1,45828.0,4.47837,0.33228,5498.7,2.0,-20.12,11.68,11.51,9.54,0.0,0.0,1,0,1,1,961915756.3482212,ALFALFA,1,428579000.0,230463000.0
rf0011,4.4808,0.3352,5550.7,5412.0,78.9,16.782,0.018,15.88,0.026,14.986,0.041,14.639,0.053,14.389,0.036,14.277,0.024,13.377,0.33,12.128,1.198,12.36,0.499,0.0,0.0,13.028,0.414,0.0,0.0,0.254,0.143,0.105,0.076,0.058,0.041,0.033,0.025,0.016,0.01,9.44,-19.962,-19.982,1.899,1.231,1.396,2.538,3.354,0.269,0.434,1.575,2.392,1.002,12.26,35.78,0.72,8.28,3027200000.0,132300000.0,0.0,9.53,0.0,27343.0,4.47837,0.33228,5498.7,1.0,1.0,-20.12,11.77,11.59,9.54,1.0,0.0,1,45828.0,4.47837,0.33228,5498.7,2.0,-20.12,11.68,11.51,9.54,1.0,0.0,1,0,1,1,2433343534.332881,ALFALFA,1,491442000.0,188871000.0
rf0012,4.7535,0.6618,5541.2,5402.0,78.8,19.486,0.104,18.901,0.037,17.986,0.021,17.68,0.036,17.508,0.023,17.365,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.91,0.682,15.931,0.548,0.234,0.131,0.097,0.07,0.053,0.038,0.031,0.023,0.015,0.009,8.16,-16.912,-16.897,1.578,1.105,1.263,2.393,3.2,0.252,0.41,1.54,2.347,0.802,2.46,5.3,0.83,8.13,0.0,0.0,437200000.0,8.53,2.0,27965.0,4.7535,0.6618,5541.2,0.0,1.0,-16.91,11.06,10.85,8.39,1.0,0.0,1,46851.0,4.7535,0.6618,5541.2,1.0,-16.91,11.06,10.85,8.39,1.0,0.0,1,0,1,0,0.0,ALFALFA,0,0.0,0.0
rf0013,4.9472,0.5908,5469.5,5331.0,77.8,18.799,0.043,16.953,0.054,15.488,0.023,14.843,0.027,14.5,0.024,14.269,0.028,13.1,0.059,12.364,0.245,12.083,0.096,13.571,0.027,12.544,0.03,12.127,0.195,0.242,0.136,0.1,0.072,0.055,0.039,0.032,0.024,0.015,0.01,9.84,-19.722,-19.736,3.797,1.977,2.28,3.595,4.518,0.586,0.889,2.204,3.127,1.521,4.9,15.31,0.59,9.55,0.0,0.0,236800000.0,8.52,0.0,27344.0,4.9472,0.5908,5469.5,1.0,0.0,-19.72,11.67,11.49,8.37,1.0,0.0,1,45829.0,4.9472,0.5908,5469.5,1.0,-19.72,11.57,11.39,8.37,1.0,0.0,1,0,1,1,0.0,AO,0,0.0,0.0
rf0014,5.0072,0.6539,5850.6,5712.0,83.2,19.807,0.051,18.826,0.032,17.735,0.021,17.317,0.028,17.125,0.025,17.019,0.048,0.0,0.0,14.951,1.05,0.0,0.0,16.523,0.372,15.276,0.334,15.548,0.702,0.228,0.128,0.094,0.068,0.052,0.037,0.03,0.022,0.014,0.009,8.52,-17.393,-17.366,2.289,1.394,1.575,2.709,3.509,0.325,0.505,1.639,2.439,1.201,6.2,12.27,0.35,7.55,416200000.0,37900000.0,0.0,8.77,0.0,27966.0,5.0072,0.6539,5850.6,0.0,1.0,-17.39,11.1,10.9,8.62,1.0,0.0,1,45830.0,5.0072,0.6539,5850.6,1.0,-17.39,11.1,10.9,8.62,1.0,0.0,1,0,1,1,0.0,AO,0,0.0,0.0
rf0015,5.1074,0.8263,5232.0,5093.0,74.4,18.418,0.025,16.214,0.12,14.58,0.022,13.793,0.02,13.38,0.021,13.109,0.021,11.722,0.038,11.057,0.115,10.762,0.127,12.407,0.036,11.31,0.115,10.969,0.221,0.227,0.128,0.094,0.068,0.052,0.037,0.03,0.022,0.014,0.009,10.46,-20.671,-20.695,4.5,2.323,2.677,4.169,5.12,0.729,1.083,2.576,3.526,1.911,14.64,31.75,0.6,8.94,0.0,0.0,576500000.0,8.91,0.0,27345.0,5.1244,0.84158,5293.5,1.0,1.0,-20.73,11.96,11.79,8.79,1.0,0.0,1,45831.0,5.1244,0.84158,5293.5,2.0,-20.73,11.9,11.74,8.79,1.0,0.0,1,0,1,1,0.0,ALFALFA,0,0.0,0.0
rf0016,5.1146,0.8336,5632.0,5493.0,80.1,18.631,0.082,15.494,0.068,13.9,0.024,13.09,0.057,12.659,0.022,12.394,0.022,11.478,0.11,10.77,0.039,10.45,0.09,11.875,0.012,10.711,0.128,10.358,0.219,0.227,0.128,0.094,0.068,0.052,0.037,0.03,0.022,0.014,0.009,10.78,-21.535,-21.569,5.354,2.275,2.623,3.933,4.849,0.745,1.093,2.404,3.32,2.235,13.18,68.33,0.75,9.96,2359800000.0,226900000.0,0.0,9.01,0.0,27346.0,5.25763,0.95577,5707.1,2.0,2.0,-21.83,12.45,12.3,9.14,1.0,0.0,1,45832.0,5.21214,0.88727,5736.9,3.0,-21.58,12.31,12.16,9.03,1.0,0.0,1,0,1,1,730292200.525823,ALFALFA,1,147509000.0,230976000.0
rf0017,5.1195,0.5412,5521.8,5384.0,78.5,19.544,0.032,18.539,0.135,17.425,0.022,16.959,0.076,16.694,0.022,16.532,0.083,15.696,0.159,14.48,0.262,0.0,0.0,16.02,0.197,14.8,0.528,14.568,0.652,0.234,0.132,0.097,0.07,0.053,0.038,0.031,0.023,0.015,0.009,8.76,-17.625,-17.626,2.458,1.511,1.734,2.933,3.763,0.409,0.633,1.831,2.661,1.214,3.27,9.89,0.72,8.79,187900000.0,17600000.0,0.0,8.42,0.0,27967.0,5.1195,0.5412,5521.8,0.0,1.0,-17.62,11.15,10.95,8.27,1.0,0.0,1,45833.0,5.1195,0.5412,5521.8,1.0,-17.62,11.14,10.94,8.27,1.0,0.0,1,0,1,1,0.0,AO,0,0.0,0.0
