name,sfr_h18,tf_type,nndist_proj,nndist_kd,tf_confidence,modelu_rcorr,econame,mu_delta,grpn,fc,logmh,grpnassoc,grp,grpradeg,grpdedeg,logmhdyn,grpsig,grprproj,logmhdynstack,logmh_e17,logmhdynh_e17,grp_e17,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,ef21corr_rand,f21corr,f21,limflagmhi,confused,deconf_mode,ef21corr_sys,hitelescope,e_f21,dens_corr_b,f_s16sample_s,dens_corr_s,groupmass_b,groupid_b,dist_b,dens_b,f_dist_s,dist_s,f_s16sample_b,groupid_s,groupmass_s,dens_s,f_dist_b,mhidet,emhidet,mhi_corr,emhi_corr_rand,emhi_corr_sys,hirms,limflag,mhilim,logmgas
rf0001,0.10125589,,1.45190001,2.22682904,,0.910782,notineco,8.00910378,1.0,1,10.9529,1.0,1.0,0.0135,-1.113,,,,,10.94,11.02,1.0,0.02,0.26,0.03,0.01,0.27,0.08,15.38,0.14,-99.0,19.33,0.05,-1.1128886,0.12,0.37,0.19,0.19,0.013432752,0.1,-99.0,15.84,3.32,17.69,16.48,17.32,0.42,1.55,-0.02,-99.0,17.15,0.81,0.33,6.89,-99.0,0.02,2.45,3.25,1.33,1.17,8.51,-99.0,6683.8,-99.0,0.04,-17.68,2.35,17.05,0.34,0.04,0.04,6683.8,0.06,0.24,0.03,15.47,18.64,1,0.0,0.0,0.22,0.0,0.0,0.0,0.0,GBT,0.02,,,,,,,,,,,,,,,473353394.34383667,43032126.75853061,0.0,0.0,0.0,0.44,0.0,0.0,8.810940624319999
rf0002,0.01874132,0.0,2.35610008,2.47785381,0.0,1.9428900000000002,notineco,9.50532436,1.0,1,11.1319,1.0,3.0,1.1467,0.8486,,,,,11.12,11.07,3.0,0.02,0.69,0.03,0.01,-99.0,0.06,13.46,0.12,12.72,20.99,0.05,0.84866485,0.02,0.35,0.17,0.16,1.146787,0.08,0.44,14.53,3.11,17.08,14.92,16.33,1.02,2.34,-0.03,14.27,15.94,0.6,0.28,9.78,0.29,0.02,3.81,4.71,2.5,2.17,9.57,-99.0,6583.8,-99.0,0.02,-18.62,3.24,15.67,0.29,0.04,0.03,6583.8,0.18,0.09,0.02,-99.0,18.62,1,0.0,0.0,0.06,1.0,0.0,0.0,0.0,AO,0.0,11.19,1.0,11.21,11.18,20002.0,6.91,10.95,1.0,6.76,1.0,10002.0,11.37,10.96,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,125262314.64293876,8.472368164319999
rf0003,0.03493618,2.0,2.1006,4.26359202,1.0,1.14536,notineco,9.27119541,1.0,1,10.9459,1.0,5.0,2.3154,0.8126,,,,,10.93,10.72,5.0,0.01,0.56,0.02,0.01,0.07,0.05,14.5,0.1,14.35,20.14,0.04,0.81264576,0.03,0.1,0.15,0.13,2.3154592000000003,0.07,0.09,15.33,1.73,17.72,15.8,17.07,0.86,2.19,0.1,14.72,16.78,0.94,0.23,4.04,0.11,0.02,3.35,4.27,2.03,1.73,8.99,-99.0,5962.9,-99.0,0.02,-17.65,3.1,16.51,0.24,0.03,0.03,5962.9,0.05,0.11,0.02,14.69,18.89,1,0.0,0.0,0.38,0.0,0.0,0.0,0.0,AO,0.03,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,5.6,0.0,10003.0,11.14,10.79,0.0,650750591.9283265,51375046.73118366,0.0,0.0,0.0,0.53,0.0,0.0,8.20868180432
rf0004,0.58640885,,1.19029999,2.74459597,,1.49209,notineco,7.93362522,1.0,1,11.5739,1.0,388.0,2.9560000000000004,-1.087,,,,,11.58,11.81,388.0,0.02,0.44,0.03,0.01,0.26,0.08,13.27,0.14,14.11,17.36,0.06,-1.0870758999999999,0.09,0.87,0.38,0.2,2.9560889,0.1,0.98,13.24,15.28,15.2,14.54,14.61,0.64,1.73,-0.01,13.09,13.8,0.95,0.35,33.3,0.15,0.03,2.82,3.53,1.73,1.53,9.67,-99.0,6365.9,-99.0,0.03,-20.29,2.44,14.27,0.36,0.05,0.03,6365.9,0.02,0.51,0.02,13.42,16.2,1,0.0,0.0,2.35,0.0,0.0,0.0,0.0,S05-AO,0.3,10.88,1.0,10.32,11.44,20243.0,13.61,10.46,1.0,12.86,1.0,10229.0,11.41,9.89,1.0,4586732466.617551,585540314.8873469,0.0,0.0,0.0,2.23,0.0,0.0,9.475574864319999
rf0005,0.09501838,0.0,0.87226999,1.05308095,0.0,2.18433,notineco,9.95773697,1.0,1,11.9579,1.0,6.0,3.0254,-0.4152,,,,,11.96,11.75,6.0,0.02,0.76,0.03,0.01,-99.0,0.06,-99.0,0.12,10.54,18.96,0.05,-0.41511957,0.02,-99.0,0.07,0.16,3.0254612,0.09,0.06,11.48,8.21,14.21,11.99,13.4,1.11,2.52,-0.04,10.75,13.0,0.66,0.29,29.02,0.13,0.02,4.08,5.01,2.68,2.32,10.67,-99.0,5565.4,-99.0,0.02,-21.18,3.44,12.73,0.29,0.04,0.05,5565.4,0.08,0.05,0.02,-99.0,15.9,1,0.0,0.0,0.64,1.0,0.0,0.0,0.0,GBT,0.0,11.06,1.0,11.3,12.09,20003.0,0.0,10.89,0.0,0.0,1.0,10004.0,12.18,11.2,0.0,0.0,0.0,0.0,0.0,0.0,3.68,1.0,954747795.5604895,9.235453524319999
rf0006,0.03162303,0.0,0.24527,1.90428577,0.0,1.64759,notineco,8.78608131,1.0,1,11.0109,1.0,7.0,4.1918,-1.1083,,,,,11.0,11.15,7.0,0.03,0.52,0.04,0.02,0.18,0.1,14.61,0.18,14.09,20.26,0.07,-1.108172,0.04,0.65,0.42,0.25,4.1918919,0.13,0.24,15.38,4.68,17.27,15.5,16.65,0.78,1.95,0.15,14.59,16.3,0.94,0.44,13.39,0.1,0.03,3.19,3.97,2.03,1.77,9.13,-99.0,5543.7,-99.0,0.02,-17.98,2.72,16.09,0.46,0.06,0.09,5543.7,0.03,0.26,0.02,14.95,18.53,1,0.0,0.0,0.03,1.0,0.0,0.0,0.0,AO,0.0,0.0,1.0,11.4,0.0,0.0,0.0,0.0,1.0,5.18,0.0,10005.0,11.86,11.17,0.0,0.0,0.0,0.0,0.0,0.0,0.39,1.0,44405485.021469384,8.52761620432
rf0007,0.25391451,0.0,0.10628,0.10463256,0.0,1.2632700000000001,notineco,8.31830406,2.0,0,11.8699,2.0,8.0,4.32123,-0.9680139999999999,,,,,11.4,11.78,8.0,0.02,0.52,0.03,0.01,0.23,0.08,-99.0,0.14,12.23,18.0,0.06,-0.9580395,0.04,-99.0,0.06,0.19,4.2867326,0.1,0.26,13.2,10.3,15.54,13.6,14.95,0.79,2.09,-0.02,12.69,14.63,0.61,0.35,19.42,0.17,0.03,3.28,4.17,1.98,1.71,9.79,-99.0,5680.45,-99.0,0.02,-19.75,2.98,14.42,0.35,0.05,0.03,5811.1,0.02,0.16,0.02,12.72,16.81,1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,GBT,0.05,11.31,1.0,11.4,11.78,20004.0,5.7,11.1,1.0,5.18,1.0,10005.0,11.86,11.17,1.0,1789061649.2481637,81320984.05673471,0.0,0.0,0.0,0.9,0.0,0.0,9.279261224319999
rf0008,0.48506847,1.0,0.1015,0.10463256,1.0,1.21875,notineco,8.70793247,2.0,1,11.8699,2.0,8.0,4.32123,-0.9680139999999999,,,,,11.7,11.64,392.0,0.02,0.57,0.03,0.01,0.05,0.08,-99.0,0.14,11.14,17.21,0.06,-0.97832513,0.02,-99.0,0.03,0.2,4.3577793,0.1,0.14,12.17,11.75,14.64,12.65,13.99,0.88,2.25,-0.06,11.5,13.65,0.54,0.35,23.02,0.02,0.02,3.48,4.42,2.11,1.8,10.21,-99.0,5680.45,-99.0,0.03,-20.61,3.19,13.38,0.36,0.05,0.09,5549.8,0.02,0.06,0.03,11.59,15.86,1,0.0,0.0,0.35,1.0,0.0,0.0,0.0,GBT,0.0,11.31,1.0,11.4,11.78,20004.0,5.7,11.1,1.0,5.18,1.0,10005.0,11.86,11.17,1.0,0.0,0.0,0.0,0.0,0.0,2.05,1.0,519204720.67428565,9.516383204319999
rf0009,0.0802444,1.0,0.16379000000000002,1.13904386,2.0,1.15421,notineco,8.13725567,1.0,1,10.9719,1.0,9.0,4.4165,0.5062,,,,,10.96,11.1,9.0,0.01,0.31,0.02,0.01,0.32,0.05,-99.0,0.1,13.87,18.95,0.04,0.50624571,0.04,-99.0,0.2,0.13,4.4165136,0.07,0.92,15.38,5.63,17.1,15.95,16.7,0.48,1.59,0.21,14.62,16.52,0.3,0.23,15.33,0.12,0.02,2.6,3.37,1.49,1.32,8.65,-99.0,5330.5,-99.0,0.03,-17.78,2.36,16.38,0.24,0.03,0.03,5330.5,0.05,0.13,0.02,15.4,18.16,1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,AO,0.01,,,,,,,,,,,,,,,68426105.50000001,13685221.100000003,0.0,0.0,0.0,0.22,0.0,0.0,9.080373764319999
rf0010,0.18038303,1.0,0.009862200000000002,0.01020655,3.0,0.698351,notineco,7.97330666,2.0,0,11.5089,3.0,10.0,4.47837,0.332278,,,,,11.51,11.76,10.0,0.02,0.21,0.03,0.01,0.21,0.06,-99.0,0.11,14.24,18.16,0.04,0.32956582,0.05,-99.0,0.17,0.14,4.4761793,0.08,0.25,15.6,3.99,16.94,15.81,16.64,0.34,1.42,-0.1,-99.0,16.48,0.9,0.25,8.03,-99.0,0.06,2.18,2.95,1.1,0.97,8.49,-99.0,5498.7,-99.0,0.05,-17.89,2.19,16.39,0.26,0.03,0.03,5446.7,0.04,0.13,0.02,15.09,17.77,1,0.16,0.68,2.06,0.0,1.0,3.0,0.3,ALFALFA,0.09,,,,,,,,,,,,,,,2943405207.976,128595373.16399999,971609486.128,228613996.736,428651243.87999994,2.95,0.0,0.0,8.99675349498
